Latitude,Longitude,Population_Density,Distance_to_Town,Terrain_Type,Average_Elevation,Median_Income,Percentage_of_Uncovered_Population,Distance_to_Existing_Tower,Available_Power_Supply,Average_Rainfall,Average_Temperature,Topography,Vegetation_Coverage,Road_Accessibility,Proximity_to_Fiber,Natural_Disaster_Risk,Local_Regulations,Spectrum_Availability,Projected_Growth_Rate
33.74540119,-112.5271836,863,73.1518137,Mountainous,2361.162714,72485,12.58745723,10.33282557,0,20.24248127,17.19384352,Basin,70.60692874,1,2.437612551,High,0,0,3.230980432
39.50714306,-113.3417581,267,23.68235211,Hilly,2517.873817,73548,98.64744063,47.58149624,1,92.69217193,34.5719486,Basin,51.79589913,1,56.92206289,High,0,1,2.938870446
37.31993942,-116.4769217,397,95.70686633,Hilly,1146.327148,25068,46.66739339,41.50471248,0,50.756644,1.768895482,Plateau,70.10691806,1,3.19537164,Low,1,1,0.75749353
35.98658484,-107.8546666,54,3.500201607,Hilly,3241.937406,38980,21.86327878,18.61007377,1,45.34908017,3.934643334,Valley,21.53504945,1,3.044542213,Low,1,1,2.564578317
31.5601864,-110.4675168,278,33.93584444,Mountainous,4439.21077,57858,94.3280826,21.65211458,0,5.827194171,37.39604651,Plateau,49.18909623,0,43.76832009,Medium,1,1,1.299077367
31.5599452,-102.6859802,320,26.74915102,Hilly,1647.571099,98827,46.86133101,1.188061683,0,8.403979141,-8.669640946,Valley,12.57953966,0,79.59709168,High,1,0,1.836690507
30.58083612,-119.3578084,681,5.764496534,Mountainous,3095.929699,60169,34.73469552,13.32017997,1,69.16485908,14.26945589,Valley,96.23500878,1,3.540860569,Low,1,0,4.328134782
38.66176146,-107.1226414,287,41.16723961,Flat,1659.744821,73861,21.38101038,15.17552634,0,77.69338748,16.43835603,Plateau,99.3636021,0,52.0552931,Medium,0,0,1.210505695
36.01115012,-104.7410224,866,62.68836918,Hilly,3963.595559,82573,26.78754511,23.18419625,1,86.700651,23.78623931,Plateau,42.9258392,0,72.54160554,High,1,1,1.239635793
36.01115012,-104.7410224,866,62.68836918,Hilly,3963.595559,82573,26.78754511,23.18419625,1,86.700651,23.78623931,Plateau,42.9258392,0,72.54160554,High,1,1,1.239635793
30.20584494,-102.2785207,576,98.9792819,Mountainous,1697.345111,89528,30.39734399,24.45957752,1,32.85736002,18.57063872,Plateau,42.78627392,1,56.71003613,High,0,1,1.238587819
39.69909852,-105.4193251,154,81.00086905,Hilly,2100.244271,29082,97.78059238,33.75495579,1,62.55226289,-4.526734627,Plateau,18.65379581,1,88.56263339,Low,0,0,3.142128719
38.32442641,-101.4437988,975,47.39937135,Flat,456.137607,21695,33.02149866,19.19283261,0,61.88801137,3.350412448,Plateau,20.8081647,1,82.24559931,Low,0,1,2.459252525
32.12339111,-113.346868,244,72.64673817,Hilly,4330.585767,27378,23.14184656,12.3775685,1,3.46663983,-9.244601635,Plateau,97.49729159,0,65.6872798,High,1,0,3.881653238
31.81824967,-109.9358117,700,84.51875507,Flat,4790.345277,64220,18.33641829,27.83810786,0,93.88028011,12.67052505,Basin,33.90654111,1,24.10269553,Low,0,1,4.157714477
31.8340451,-119.7184067,729,47.06541245,Flat,2387.070899,29528,41.18545053,2.421191245,0,64.25602731,-1.244482727,Plateau,87.03065035,1,11.51210785,High,0,0,2.68472664
33.04242243,-119.8608483,145,78.72038897,Hilly,1106.68604,82424,23.68064485,17.70103509,1,0.646857063,-5.162318026,Valley,0.765110625,0,15.03181891,High,1,0,2.061131481
35.24756432,-115.1974676,454,48.78258941,Hilly,3323.280995,20248,69.69379638,26.8519219,0,95.96342035,7.215455396,Plateau,59.62962546,0,99.4071068,Medium,1,0,3.030448504
34.31945019,-117.9838561,362,39.2631031,Flat,2261.907398,29888,23.97717354,17.45629799,0,95.26509531,-6.039115638,Basin,22.77453382,1,72.453327,Low,0,1,2.583886625
32.9122914,-114.7957726,403,53.08299294,Flat,1261.500404,35118,83.5396845,17.92613988,1,94.59197516,23.22066278,Valley,57.00390577,0,22.24483608,Low,0,0,1.850662673
36.11852895,-116.4591341,284,67.90961903,Flat,192.1657175,86224,83.40112585,42.56653647,1,88.88987846,0.043401765,Basin,67.00017075,0,59.61354074,Low,1,1,2.164013558
31.39493861,-119.4295995,393,72.96132358,Hilly,4448.522259,20223,28.5526374,46.76559757,0,18.46360228,25.5136396,Valley,81.31576433,0,2.881425838,High,1,0,4.222942736
32.92144649,-101.8139171,919,36.31689062,Mountainous,3983.67176,54527,75.35401305,41.54223972,1,97.71728918,31.99283753,Basin,24.526255,0,82.99817759,Low,1,0,3.208831674
33.66361843,-119.8355374,332,57.5607049,Hilly,4145.030288,40199,85.7545876,5.844505054,0,76.19324502,27.06493096,Basin,63.88489716,1,80.04793416,Medium,0,0,3.199897217
34.56069984,-105.2783571,192,91.07721653,Mountainous,2199.198655,98883,59.01328439,15.19737977,1,64.07570235,28.14255381,Basin,0.410786919,1,66.10115442,Low,0,0,3.584966809
37.85175961,-116.9570423,582,97.65497711,Mountainous,3766.27696,39755,36.63324109,35.85342397,0,94.26706115,22.18827298,Plateau,99.9253804,0,21.77398407,High,1,1,4.974149249
31.99673782,-101.7554076,449,23.49756103,Hilly,2906.126319,24384,44.09671867,48.74524696,1,38.10872729,8.815020297,Valley,41.84067039,0,50.54414666,High,1,0,2.584331549
35.14234438,-102.1440812,72,20.09028541,Mountainous,1873.876482,86987,78.6228865,12.87179588,1,93.13689923,7.427233293,Valley,19.84689954,0,68.38789476,High,1,1,3.056771561
35.92414569,-106.9219771,882,67.99187771,Flat,4213.710441,85846,29.3317464,45.01231348,0,60.56845026,18.44710203,Valley,64.45202805,1,37.83105778,Low,1,1,2.361327464
35.92414569,-106.9219771,882,67.99187771,Flat,4213.710441,85846,29.3317464,45.01231348,0,60.56845026,18.44710203,Valley,64.45202805,1,37.83105778,Low,1,1,2.361327464
36.07544852,-119.8932172,881,3.398011503,Mountainous,4496.411536,37506,16.07843363,49.18906795,1,64.5951417,7.232373318,Basin,0.31801779,0,32.54470149,Low,0,1,3.427680733
31.70524124,-100.3025687,660,35.33932519,Flat,3880.959858,98386,39.9052403,5.585688605,1,75.41603424,-2.235007909,Plateau,40.18478179,0,51.38601884,High,0,1,3.45765767
30.65051593,-102.4433479,952,80.8677296,Mountainous,3737.539861,94710,8.651513225,20.34254166,0,44.49201013,29.00686496,Plateau,82.79969224,1,28.87378526,High,1,1,2.908843966
39.48885537,-102.0978755,655,79.94526611,Mountainous,3251.244215,48372,32.1034441,24.42763511,0,98.0604304,26.78121797,Plateau,25.91952944,1,71.32795725,Low,0,1,0.383345425
39.65632033,-106.8151093,43,49.97382973,Flat,4268.087484,25423,37.34793809,33.93204864,0,8.851879344,15.16280414,Valley,96.00691042,1,15.52280412,Medium,1,1,0.072398479
38.08397348,-113.1042614,714,47.78521555,Flat,2465.406239,29841,25.54791324,33.04462978,1,91.38240313,8.478650796,Plateau,86.45697435,0,36.07225462,Medium,0,1,4.046836537
33.04613769,-102.127027,876,58.3712368,Hilly,908.647551,37966,10.13581191,45.41092189,1,65.74231049,24.83370642,Basin,37.08511909,0,70.89834496,High,0,1,0.547082879
30.97672114,-114.1696614,994,22.72027435,Mountainous,3840.248621,34601,52.16672426,42.09498301,1,90.99164961,-5.76616151,Valley,40.1103201,0,69.77121215,Low,0,1,1.918995631
36.84233027,-108.7457691,841,53.07831886,Hilly,4597.531871,98766,86.50811698,3.713260777,1,36.87600226,-7.612541441,Plateau,45.24305271,1,52.65718902,Low,1,0,1.136609639
